S/N,Date,Country,Rented_Bike_Count,Hour,Temperature,Humidity,Windspeed,Visibility,Dewpoint_Temp,Solar_Radiation,Rainfall,Snowfall,Open,Hit_Sales,Region,Latitude,Longitude
1,11/23/2018,JP,196,0,-1.7,79,0.5,3,-4.8,0,0,low,Yes,N,South,37.45302417,127.7182341
2,11/23/2018,JP,250,1,-1.6,79,0.6,3,-4.7,0,0,,Yes,N,South,37.80561499,127.7665061
3,11/23/2018,JP,161,2,-1.1,79,0.7,3,-4.2,0,0,low,Yes,N,South,37.27691558,127.7363114
4,11/23/2018,JP,99,3,-0.6,76,0.5,3,-4.3,0,0,low,Yes,N,South,37.41678063,128.26224
5,11/23/2018,JP,64,4,-0.3,76,0.9,3,-4,0,0,low,Yes,N,South,37.37734999,127.8954788
6,11/23/2018,JP,76,5,-0.2,73,0.8,3,-4.4,0,0,low,Yes,N,South,37.86215498,128.3745121
7,11/23/2018,JP,114,6,-0.1,71,0.8,3,-4.7,0,0,low,yes ,N,South,37.23156593,128.2753162
8,11/23/2018,JP,283,7,-0.3,72,0.7,3,-4.7,0,0,low,Yes,N,South,37.80243605,128.0985701
9,11/23/2018,JP,544,8,-0.4,69,0.5,3,-5.4,0,0,low,Yes,N,South,37.01133857,128.2581967
10,11/23/2018,JP,298,9,0.3,67,0.7,3,-5.1,0.03,0,low,Yes,N,South,37.51775413,128.0387131
11,11/23/2018,JP,248,10,1.4,64,1,3,-4.6,0.25,0,low,Yes,N,South,37.06606193,128.1363669
12,11/23/2018,JP,278,11,3.1,57,0.8,3,-4.6,0.63,0,low,Yes,N,South,37.35654306,128.3162693
13,11/23/2018,JP,301,12,4.5,56,0.8,3,-3.5,0.71,0,low,Yes,N,South,37.81570708,127.527325
14,11/23/2018,JP,320,13,5.4,55,1.2,3,-2.9,0.66,0,low,Yes,N,South,37.55684476,128.0052038
15,11/23/2018,JP,326,14,5.9,55,0.6,3,-2.4,0.48,0,low,Yes,N,South,37.53256941,128.2856945
16,11/23/2018,JP,386,15,6.5,55,0.9,3,-1.9,0.38,0,low,Yes,N,South,37.75867896,128.2151212
17,11/23/2018,JP,416,16,6,58,0.7,3,-1.6,0.19,0,low,Yes,N,South,37.61358884,127.5479104
18,11/23/2018,JP,477,17,5.4,61,1.3,2,-1.5,0.08,0,low,Yes,N,South,37.69115013,128.0626397
19,11/23/2018,JP,671,18,4.9,63,0.6,2,-1.5,0,0,low,Yes,N,South,37.21408531,127.5514596
20,11/23/2018,JP,481,19,5.2,64,0.7,2,-1,0,0,low,Yes,N,South,37.543726,128.4364904
21,11/23/2018,JP,323,20,5.9,67,1.3,3,0.2,0,0,low,Yes,N,South,37.37744132,127.918667
22,11/23/2018,JP,309,21,6.1,70,2.2,3,1,0,0,low,Yes,N,South,37.1981638,127.6916871
23,11/23/2018,JP,314,22,65.1,70,2.7,3,1,0,0,low,Yes,N,South,37.06968485,127.7487368
24,11/23/2018,JP,249,23,5.8,74,2.5,3,1.5,0,0,low,Yes,N,South,37.39926954,127.8346529
25,12/1/2018,JP,254,0,-5.2,37,2.2,5,-17.6,0,0,,Yes,N,South,37.52227453,128.1261099
26,12/1/2018,JP,204,1,-5.5,38,0.8,5,-17.6,0,0,low,Yes,N,South,37.82707035,127.6802258
27,12/1/2018,JP,173,2,-6,39,1,5,-17.7,0,0,low,Yes,N,South,37.84630409,128.3272674
28,12/1/2018,JP,107,3,-6.2,40,0.9,5,-17.6,0,0,low,Yes,N,South,37.26737694,128.2258003
29,12/1/2018,JP,78,4,-6,36,2.3,5,-18.6,0,0,low,Yes,N,South,37.35572167,127.5309421
30,12/1/2018,JP,100,5,-6.4,37,1.5,5,-18.7,0,0,low,Yes,N,South,37.50350163,127.659692
31,12/1/2018,JP,181,6,-6.6,35,1.3,5,-19.5,0,0,low,Yes,N,South,37.66747366,127.5158516
32,12/1/2018,JP,460,7,-7.4,38,0.9,5,-19.3,0,0,low,Yes,N,South,37.63428069,128.4039172
33,12/1/2018,JP,930,8,-7.6,37,1.1,5,-19.8,0.01,0,low,Yes,N,South,37.77431979,128.3676562
34,12/1/2018,JP,490,9,-6.5,27,0.5,4,-22.4,0.23,0,low,Yes,N,South,37.57393174,128.4743675
35,12/1/2018,JP,339,10,-3.5,24,1.2,4,-21.2,0.65,0,,Yes,N,South,37.68119745,127.8322383
36,12/1/2018,JP,360,11,-0.5,21,1.3,4,-20.2,0.94,0,low,Yes,N,South,37.38311096,128.3874004
37,12/1/2018,JP,449,12,1.7,23,1.4,5,-17.2,1.11,0,low,Yes,N,South,37.8937422,128.4549054
38,12/1/2018,JP,451,13,2.4,25,1.6,5,-15.6,1.16,0,low,Yes,N,South,37.38468556,128.4401777
39,12/1/2018,JP,447,14,3,26,2,5,-14.6,1.01,0,low,Yes,N,South,37.64296938,128.4030284
40,12/1/2018,JP,463,15,2.1,36,3.2,5,-11.4,0.54,0,low,Yes,N,South,37.02387918,128.1372736
41,12/1/2018,JP,484,16,1.2,54,4.2,3,-7,0.24,0,low,Yes,N,South,37.3764923,128.0429104
42,12/1/2018,JP,555,17,0.8,58,1.6,5,-6.5,0.08,0,low,Yes,N,South,37.56713555,127.7069438
43,12/1/2018,JP,862,18,0.6,,1.4,5,-5,0,0,low,Yes,N,South,37.57346623,127.8651688
44,12/1/2018,JP,600,19,0,77,1.7,5,-3.5,0,0,low,Yes,N,South,37.56084173,127.6267412
45,12/1/2018,JP,426,20,-0.3,79,1.5,4,-3.5,0,0,low,Yes,N,South,37.46985497,128.2022989
46,12/1/2018,JP,405,21,-0.8,81,0.8,4,-3.6,0,0,low,Yes,N,South,37.49997671,127.849463
47,12/1/2018,JP,398,22,-0.9,83,1.5,4,-3.4,0,0,low,Yes,N,South,37.95679172,128.2990861
48,12/1/2018,JP,323,23,-1.3,84,1,4,-3.6,0,0,low,Yes,N,South,37.95696056,127.5746867
49,12/2/2018,JP,328,0,-1.8,87,1.1,3,-3.6,0,0,low,Yes,N,South,37.970012,128.3803277
50,12/2/2018,JP,308,1,-2.2,86,0.6,3,-4.2,0,0,low,Yes,N,South,37.63877552,127.5479922
51,12/2/2018,JP,262,2,-29.2,86,1.5,4,-4.9,0,0,low,Yes,N,South,37.21743676,127.5088899
52,12/2/2018,JP,167,3,-3.5,81,2.2,4,-6.2,0,0,low,Yes,N,South,37.28819352,128.2902694
53,12/2/2018,JP,89,4,-3.8,79,2,3,-6.9,0,0,low,Yes,N,South,37.95796596,128.2486884
54,12/2/2018,JP,79,5,-4,79,1.5,4,-7.1,0,0,low,Yes,N,South,37.96021439,127.6690363
55,12/2/2018,JP,70,6,-4.3,82,2.1,3,-6.9,0,0,low,Yes,N,South,37.64333641,128.0556991
56,12/2/2018,JP,146,7,-4.4,81,2.5,4,-7.1,0,0,low,Yes,N,South,37.15854873,127.5463947
57,12/2/2018,JP,219,8,-4.2,79,2.1,4,-7.3,0.01,0,low,Yes,N,South,37.13202247,128.4888527
58,12/2/2018,JP,328,9,-2.9,68,1.6,4,-7.9,0.3,0,low,Yes,N,South,37.19473392,128.282647
59,12/2/2018,JP,334,10,-0.4,57,1.6,4,-7.8,0.8,0,low,Yes,N,South,37.04237839,128.0968047
60,12/2/2018,JP,388,11,1.9,49,1.8,4,-7.7,1,0,,Yes,N,South,37.89398485,128.1356269
61,12/2/2018,JP,479,12,4.3,41,1.3,4,-7.8,1.09,0,low,Yes,N,South,37.13096204,127.539654
62,12/2/2018,JP,606,13,6,36,1.8,4,-7.9,1.12,0,low,Yes,N,South,37.86285964,128.1086567
63,12/2/2018,JP,611,14,7.3,35,1.3,4,-7.1,0.99,0,low,Yes,N,South,37.32794068,128.0492162
64,12/2/2018,JP,589,15,7.6,41,2.3,4,-4.8,0.74,0,low,Yes,N,South,37.64913524,128.4496074
65,12/2/2018,JP,618,16,6.4,48,2.6,4,-3.8,0.22,0,low,Yes,N,South,37.17839411,127.7185203
66,12/2/2018,JP,572,17,6,51,2.5,4,-3.3,0.06,0,low,Yes,N,South,37.5269517,128.2004448
67,12/2/2018,JP,489,18,5.5,53,1.5,4,-3.3,0,0,low,Yes,N,South,37.97127413,127.6214974
68,12/2/2018,JP,385,19,5,52,2.3,4,-4,0,0,low,Yes,N,South,37.62377881,127.501667
69,12/2/2018,JP,359,20,4.6,51,1.2,4,-4.6,0,0,low,Yes,N,South,37.00586362,127.6075906
70,12/2/2018,JP,377,21,4.1,55,1.2,4,-4.1,0,0,low,Yes,N,South,37.40099052,127.7694709
71,12/2/2018,JP,354,22,3.5,54,1.5,4,-4.9,0,0,low,Yes,N,South,37.75651182,128.4256553
72,12/2/2018,JP,366,23,4,56,1,4,-4,0,0,low,Yes,N,South,37.0063576,128.4069967
73,12/3/2018,JP,342,0,4,58,1.4,4,-3.5,0,0,low,Yes,N,South,37.74963108,127.8148223
74,12/3/2018,JP,227,1,3.9,69,1.7,2,-1.2,0,0,low,Yes,N,South,37.474172,127.8866243
75,12/3/2018,JP,228,2,3.3,79,1.4,3,0,0,0,low,Yes,N,South,37.077245,127.5567233
76,12/3/2018,JP,117,3,3.4,71,1.6,3,-1.3,0,0.5,,Yes,N,South,37.7958587,128.3558982
77,12/3/2018,JP,76,4,3.5,73,1,3,-0.8,0,0,low,Yes,N,South,37.21984298,127.9583245
78,12/3/2018,JP,32,5,3.9,75,1.9,3,-0.1,0,0,low,Yes,N,South,37.04263912,128.1801206
79,12/3/2018,JP,13,6,3.4,86,2.5,2,1.2,0,1,low,Yes,N,South,37.62407983,127.8882563
80,12/3/2018,JP,22,7,3.1,91,1.2,1,1.7,0,0,low,Yes,N,South,37.46657389,128.3874109
81,12/3/2018,JP,85,8,3.2,92,1.8,2,2,0,0,low,yes,N,South,37.32170594,128.1322316
82,12/3/2018,JP,152,9,3.5,91,1.8,2,2.1,0.02,2.5,low,Yes,N,South,37.32018784,128.1801651
83,12/3/2018,JP,200,10,4.4,89,2.2,2,2.7,0.24,0,low,Yes,N,South,37.69189423,128.0949449
84,12/3/2018,JP,273,11,5.1,87,1.4,2,3.1,0.25,0,low,Yes,N,South,37.22800817,127.9765496
85,12/3/2018,JP,333,12,5.8,85,1.7,2,3.4,0.43,0,low,Yes,N,South,37.47906006,128.3817689
86,12/3/2018,JP,495,13,6.8,81,1.9,2,3.7,0.6,0,low,Yes,N,South,37.00080709,127.7852489
87,12/3/2018,JP,563,14,7.6,76,1.2,2,3.6,0.69,0,low,Yes,N,South,37.77335477,128.3046642
88,12/3/2018,JP,621,15,8,73,1.6,2,3.4,0.53,0,low,Yes,N,South,37.48710515,127.6022981
89,12/3/2018,JP,598,16,7.6,77,1.6,2,3.8,0.2,0,low,Yes,N,South,37.69260161,127.6692639
90,12/3/2018,JP,545,17,6.7,82,1.5,2,3.8,0.05,0,low,Yes,N,South,37.67028414,127.7333696
91,12/3/2018,JP,443,18,6,84,1.9,2,3.4,0,0,low,Yes,N,South,37.71686946,128.2453512
92,12/3/2018,JP,422,19,5.7,85,1.7,2,3.3,0,0,low,Yes,N,South,37.39694909,128.0910422
93,12/3/2018,JP,397,20,5.2,87,1.4,2,3.2,0,0,low,Yes,N,South,37.40063912,127.6454904
94,12/3/2018,JP,385,21,4.7,87,1.2,2,2.7,0,0,low,Yes,N,South,37.36630968,128.0515903
95,12/3/2018,JP,350,22,4.3,89,1.8,2,2.6,0,0,low,Yes,N,South,37.37203986,127.5601312
96,12/3/2018,JP,303,23,3.9,90,1.3,1,2.4,0,0,low,Yes,N,South,37.40228991,128.1293842
97,12/4/2018,JP,285,0,4.2,88,0.6,2,2.3,0,0,low,Yes,N,South,37.1607023,127.8855924
98,12/4/2018,JP,186,1,4.3,87,0.5,2,2.3,0,0,low,Yes,N,South,37.20757484,127.9995949
99,12/4/2018,JP,112,2,4.4,87,1.8,2,2.4,0,0,low,Y,N,South,37.26917992,127.5114726
100,12/4/2018,JP,65,3,3.6,85,2.3,2,1.3,0,0,low,Yes,N,South,37.54579453,128.3869806
101,12/4/2018,JP,41,4,2.8,89,1.5,1,1.1,0,0,low,Yes,N,South,37.60479126,128.1581588
102,12/4/2018,JP,82,5,2,83,2.7,2,-0.5,0,0,low,Yes,N,South,37.58347387,127.9364913
103,12/4/2018,JP,200,6,1.2,76,3.7,2,-2.5,0,0.1,low,Yes,N,South,37.31567013,128.4446143
104,12/4/2018,JP,498,7,0.2,68,3.4,3,-5,0,0,low,Yes,N,South,37.74118067,127.7629321
105,12/4/2018,JP,937,8,-0.8,69,3.5,3,-5.7,0.01,0,low,Yes,N,South,37.01247741,128.286593
106,12/4/2018,JP,509,9,-1.5,47,4.2,4,-11.3,0.22,0,low,Yes,N,South,37.61427667,128.1463925
107,12/4/2018,JP,311,10,-1.1,40,4.5,5,-13,0.64,0,low,Yes,N,South,37.25105065,128.2116804
108,12/4/2018,JP,379,11,-0.5,41,4.1,4,-12.1,0.94,0,low,Yes,N,South,37.01978216,128.4892061
109,12/4/2018,JP,393,12,-0.3,38,4.8,4,-12.9,1.11,0,low,Yes,N,South,37.95679637,127.7609981
110,12/4/2018,JP,391,13,0,30,5.4,4,-15.5,1.17,0,low,Yes,N,South,37.51605082,128.192293
111,12/4/2018,JP,338,14,0.1,27,4.5,5,-16.7,1.09,0,low,Y,N,South,37.80620453,128.2539712
112,12/4/2018,JP,341,15,-0.1,25,5.8,5,-17.8,0.88,0,low,Yes,N,South,37.51423292,128.2401472
113,12/4/2018,JP,375,16,-0.2,23,4.7,5,-18.8,0.55,0,low,Yes,N,South,37.33655451,128.4298283
114,12/4/2018,JP,515,17,-1.3,26,5.3,5,-18.3,0.18,0,low,Yes,N,South,37.50476642,128.3725652
115,12/4/2018,JP,807,18,-2.1,29,3.9,5,-17.7,0,0,low,Yes,N,South,37.55344371,127.7832542
116,12/4/2018,JP,568,19,-2.9,32,3.2,5,-17.3,0,0,low,Yes,N,South,37.50478847,128.3506575
117,12/4/2018,JP,398,20,-3.6,38,3,5,-15.8,0,0,low,Yes,N,South,37.81446157,128.4010612
118,12/4/2018,JP,397,21,-4.6,43,4.5,5,-15.3,0,0,low,Yes,N,South,37.54110869,128.1714808
119,12/4/2018,JP,353,22,-5.3,45,2.5,5,-15.3,0,0,low,Yes,N,South,37.63089661,128.0365906
120,12/4/2018,JP,248,23,-5.8,44,2.4,5,-16.1,0,0,low,Yes,N,South,37.95539758,128.3221553
121,12/5/2018,JP,216,0,-6.1,42,2.6,5,-16.9,0,0,low,Yes,N,South,37.62271626,128.4286588
122,12/5/2018,JP,198,1,-6.5,41,2.8,5,-17.6,0,0,low,Yes,N,South,37.59281333,128.4138614
123,12/5/2018,JP,124,2,-6.8,41,2.5,5,-17.8,0,0,low,Yes,N,South,37.99014644,128.1866559
